latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,confidence,version,bright_ti5,frp,daynight
37.19616,-90.76601,296.32,0.39,0.36,2026-03-01,0752,N20,nominal,2.0NRT,278.94,0.84,N
37.44287,-93.44397,296.59,0.46,0.39,2026-03-01,0752,N20,nominal,2.0NRT,273.6,0.81,N
37.21582,-91.72871,301.16,0.41,0.37,2026-03-01,0752,N20,nominal,2.0NRT,276.77,0.72,N
37.06715,-90.88385,298.22,0.39,0.36,2026-03-01,0752,N20,nominal,2.0NRT,281.21,0.51,N
34.8417,-79.74171,303.91,0.34,0.56,2026-03-01,0752,N20,nominal,2.0NRT,277.52,1.03,N
37.54408,-95.3369,295.12,0.56,0.43,2026-03-01,0752,N20,nominal,2.0NRT,273.8,1.26,N
36.95335,-91.18022,321.84,0.4,0.37,2026-03-01,0752,N20,nominal,2.0NRT,279.98,1.79,N
36.86871,-92.22922,297.8,0.42,0.37,2026-03-01,0752,N20,nominal,2.0NRT,280.21,0.48,N
36.8269,-92.30999,296.41,0.42,0.38,2026-03-01,0752,N20,nominal,2.0NRT,281.42,0.47,N
36.82347,-92.31072,303.69,0.42,0.38,2026-03-01,0752,N20,nominal,2.0NRT,279.84,0.59,N
36.55283,-90.96935,304.56,0.39,0.36,2026-03-01,0752,N20,nominal,2.0NRT,279.61,0.8,N
36.55219,-90.96502,305.33,0.39,0.36,2026-03-01,0752,N20,nominal,2.0NRT,279.55,0.8,N
36.77943,-92.79501,308,0.43,0.38,2026-03-01,0752,N20,nominal,2.0NRT,277.73,1.63,N
36.7788,-92.79018,304.56,0.43,0.38,2026-03-01,0752,N20,nominal,2.0NRT,276.71,0.75,N
36.62333,-91.64731,313.28,0.4,0.37,2026-03-01,0752,N20,nominal,2.0NRT,281.93,0.76,N
36.62059,-91.65248,298.13,0.4,0.37,2026-03-01,0752,N20,nominal,2.0NRT,280.96,0.76,N
36.61997,-91.64803,296.93,0.4,0.37,2026-03-01,0752,N20,nominal,2.0NRT,281.5,0.76,N
